,0,1,2,3
weight_in_kg_mean,67.0727554563492,60.49500978473581,62.14343584656084,66.18365335381465
BMI_in_kg_per_m2_mean,26.695685874595938,24.182093688904175,24.988927123326253,26.65738186622122
calorie_intake_per_day_mean,1478.125,1445.2054794520548,1508.3333333333333,1477.4193548387098
comorbidity_score_mean,1.689484126984127,0.5557729941291585,2.3839285714285716,0.7791218637992832
lifestyle_score_mean,4.215959821428571,4.258697542944118,3.841600529100529,4.5946620583717355
weight_in_kg_slope,0.012797619047619044,0.04866275277234182,0.18134920634920634,1.157219662058372
BMI_in_kg_per_m2_slope,0.006455545941032157,0.012804119811690141,0.07121166574161499,0.46797542282668164
calorie_intake_per_day_slope,0.0,0.0,0.0,0.0
comorbidity_score_slope,0.008184523809523808,0.0304631441617743,0.026339285714285718,0.006605222734254993
lifestyle_score_slope,0.0030505952380952385,0.04494455316373125,0.034970238095238096,0.024116743471582183
takes_insulin_prop,0.6073288690476191,0.5693629049793434,0.667989417989418,0.6520097286226318
urinary_infection_prop,0.2604166666666667,0.1506849315068493,0.6990740740740741,0.36200716845878134
has_heart_disease_prop,0.17708333333333331,0.1263318112633181,0.7893518518518517,0.10394265232974911
takes_pain_killer_prop,0.32837301587301587,0.2328767123287671,0.7685185185185185,0.2056451612903226
has_hypertension_prop,0.9236111111111112,0.045879539030223966,0.12698412698412698,0.1075268817204301
pre_onset_years,7.96875,8.164383561643836,8.645833333333334,6.354838709677419
